ProviderId,status,CurrentRoundNumber,Round,RoundNumber,HomeTeam,HomeGoals,HomeBehinds,HomeScore,AwayTeam,AwayGoals,AwayBehinds,AwayScore,Venue,Location,State,Season,Date,Opposition,Match_id,RoundStatus
CD_M20120142207,CONCLUDED,27,Round 22,22,Geelong,16.0,11.0,107.0,Western Bulldogs,11.0,7.0,73.0,GMHBA Stadium,Geelong,VIC,2012,2012-08-26,Western Bulldogs,5529.0,Past Round
CD_M20120142208,CONCLUDED,27,Round 22,22,North Melbourne,12.0,7.0,79.0,Fremantle,20.0,12.0,132.0,Marvel Stadium,Melbourne,VIC,2012,2012-08-26,Fremantle,5530.0,Past Round
CD_M20120142209,CONCLUDED,27,Round 22,22,Melbourne,11.0,15.0,81.0,Adelaide,22.0,18.0,150.0,MCG,Melbourne,VIC,2012,2012-08-26,Adelaide,5531.0,Past Round
CD_M20130142201,CONCLUDED,27,Round 22,22,Collingwood,15.0,11.0,101.0,West Coast,5.0,9.0,39.0,MCG,Melbourne,VIC,2013,2013-08-23,West Coast,5730.0,Past Round
CD_M20130142202,CONCLUDED,27,Round 22,22,Adelaide,18.0,12.0,120.0,Melbourne,7.0,10.0,52.0,AAMI Stadium,Adelaide,SA,2013,2013-08-24,Melbourne,5731.0,Past Round
CD_M20130142203,CONCLUDED,27,Round 22,22,North Melbourne,15.0,13.0,103.0,Hawthorn,17.0,15.0,117.0,Marvel Stadium,Melbourne,VIC,2013,2013-08-24,Hawthorn,5732.0,Past Round
CD_M20130142204,CONCLUDED,27,Round 22,22,Geelong,13.0,14.0,92.0,Sydney,7.0,6.0,48.0,GMHBA Stadium,Geelong,VIC,2013,2013-08-24,Sydney,5733.0,Past Round
CD_M20130142205,CONCLUDED,27,Round 22,22,Carlton,9.0,22.0,76.0,Essendon,12.0,10.0,82.0,MCG,Melbourne,VIC,2013,2013-08-24,Essendon,5735.0,Past Round
CD_M20130142206,CONCLUDED,27,Round 22,22,Fremantle,21.0,8.0,134.0,Port Adelaide,9.0,6.0,60.0,Domain Stadium,Perth,WA,2013,2013-08-24,Port Adelaide,5734.0,Past Round
CD_M20130142207,CONCLUDED,27,Round 22,22,St Kilda,17.0,14.0,116.0,Gold Coast,10.0,10.0,70.0,Marvel Stadium,Melbourne,VIC,2013,2013-08-25,Gold Coast,5736.0,Past Round
CD_M20130142208,CONCLUDED,27,Round 22,22,GWS,6.0,6.0,42.0,Richmond,25.0,13.0,163.0,ENGIE Stadium,Sydney,NSW,2013,2013-08-25,Richmond,5737.0,Past Round
CD_M20130142209,CONCLUDED,27,Round 22,22,Brisbane,15.0,10.0,100.0,Western Bulldogs,13.0,15.0,93.0,Gabba,Brisbane,QLD,2013,2013-08-25,Western Bulldogs,5738.0,Past Round
CD_M20140142201,CONCLUDED,27,Round 22,22,Port Adelaide,20.0,20.0,140.0,Carlton,5.0,7.0,37.0,Adelaide Oval,Adelaide,SA,2014,2014-08-22,Carlton,5937.0,Past Round
CD_M20140142202,CONCLUDED,27,Round 22,22,North Melbourne,14.0,17.0,101.0,Adelaide,13.0,16.0,94.0,Blundstone Arena,Hobart,TAS,2014,2014-08-23,Adelaide,5938.0,Past Round
CD_M20140142203,CONCLUDED,27,Round 22,22,Essendon,16.0,12.0,108.0,Gold Coast,13.0,11.0,89.0,Marvel Stadium,Melbourne,VIC,2014,2014-08-23,Gold Coast,5939.0,Past Round
CD_M20140142204,CONCLUDED,27,Round 22,22,GWS,9.0,13.0,67.0,Collingwood,11.0,9.0,75.0,ENGIE Stadium,Sydney,NSW,2014,2014-08-23,Collingwood,5940.0,Past Round
CD_M20140142205,CONCLUDED,27,Round 22,22,West Coast,18.0,11.0,119.0,Melbourne,8.0,5.0,53.0,Domain Stadium,Perth,WA,2014,2014-08-23,Melbourne,5941.0,Past Round
CD_M20140142206,CONCLUDED,27,Round 22,22,Hawthorn,14.0,10.0,94.0,Geelong,11.0,5.0,71.0,MCG,Melbourne,VIC,2014,2014-08-23,Geelong,5942.0,Past Round
CD_M20140142207,CONCLUDED,27,Round 22,22,Brisbane,6.0,12.0,48.0,Fremantle,15.0,16.0,106.0,Gabba,Brisbane,QLD,2014,2014-08-24,Fremantle,5943.0,Past Round
CD_M20140142208,CONCLUDED,27,Round 22,22,Western Bulldogs,9.0,13.0,67.0,Sydney,20.0,10.0,130.0,Marvel Stadium,Melbourne,VIC,2014,2014-08-24,Sydney,5944.0,Past Round
CD_M20140142209,CONCLUDED,27,Round 22,22,Richmond,15.0,8.0,98.0,St Kilda,10.0,12.0,72.0,MCG,Melbourne,VIC,2014,2014-08-24,St Kilda,5945.0,Past Round
CD_M20150142201,CONCLUDED,27,Round 22,22,Geelong,9.0,8.0,62.0,Collingwood,17.0,8.0,110.0,MCG,Melbourne,VIC,2015,2015-08-28,Collingwood,6144.0,Past Round
CD_M20150142202,CONCLUDED,27,Round 22,22,GWS,20.0,12.0,132.0,Carlton,7.0,9.0,51.0,ENGIE Stadium,Sydney,NSW,2015,2015-08-29,Carlton,6145.0,Past Round
CD_M20150142203,CONCLUDED,27,Round 22,22,Hawthorn,21.0,8.0,134.0,Brisbane,9.0,8.0,62.0,UTAS Stadium,Launceston,TAS,2015,2015-08-29,Brisbane,6146.0,Past Round
CD_M20150142204,CONCLUDED,27,Round 22,22,North Melbourne,10.0,13.0,73.0,Western Bulldogs,14.0,12.0,96.0,Marvel Stadium,Melbourne,VIC,2015,2015-08-29,Western Bulldogs,6147.0,Past Round
CD_M20150142205,CONCLUDED,27,Round 22,22,Essendon,7.0,5.0,47.0,Richmond,10.0,14.0,74.0,MCG,Melbourne,VIC,2015,2015-08-29,Richmond,6148.0,Past Round
CD_M20150142206,CONCLUDED,27,Round 22,22,Gold Coast,7.0,9.0,51.0,Port Adelaide,12.0,16.0,88.0,People First Stadium,Gold Coast,QLD,2015,2015-08-29,Port Adelaide,6149.0,Past Round
CD_M20150142207,CONCLUDED,27,Round 22,22,Adelaide,19.0,12.0,126.0,West Coast,10.0,9.0,69.0,Adelaide Oval,Adelaide,SA,2015,2015-08-30,West Coast,6150.0,Past Round
CD_M20150142208,CONCLUDED,27,Round 22,22,St Kilda,4.0,14.0,38.0,Sydney,20.0,15.0,135.0,Marvel Stadium,Melbourne,VIC,2015,2015-08-30,Sydney,6151.0,Past Round
CD_M20150142209,CONCLUDED,27,Round 22,22,Fremantle,17.0,6.0,108.0,Melbourne,8.0,6.0,54.0,Domain Stadium,Perth,WA,2015,2015-08-30,Melbourne,6152.0,Past Round
CD_M20160142201,CONCLUDED,27,Round 22,22,West Coast,13.0,14.0,92.0,Hawthorn,10.0,7.0,67.0,Domain Stadium,Perth,WA,2016,2016-08-19,Hawthorn,6352.0,Past Round
CD_M20160142202,CONCLUDED,27,Round 22,22,Richmond,6.0,10.0,46.0,St Kilda,7.0,13.0,55.0,MCG,Melbourne,VIC,2016,2016-08-20,St Kilda,6354.0,Past Round
CD_M20160142203,CONCLUDED,27,Round 22,22,GWS,19.0,15.0,129.0,Fremantle,5.0,7.0,37.0,ENGIE Stadium,Sydney,NSW,2016,2016-08-20,Fremantle,6355.0,Past Round
CD_M20160142204,CONCLUDED,27,Round 22,22,Port Adelaide,14.0,10.0,94.0,Adelaide,15.0,19.0,109.0,Adelaide Oval,Adelaide,SA,2016,2016-08-20,Adelaide,6357.0,Past Round
CD_M20160142205,CONCLUDED,27,Round 22,22,North Melbourne,10.0,16.0,76.0,Sydney,12.0,13.0,85.0,Blundstone Arena,Hobart,TAS,2016,2016-08-20,Sydney,6353.0,Past Round
CD_M20160142206,CONCLUDED,27,Round 22,22,Collingwood,16.0,22.0,118.0,Gold Coast,6.0,11.0,47.0,Marvel Stadium,Melbourne,VIC,2016,2016-08-20,Gold Coast,6356.0,Past Round
CD_M20160142207,CONCLUDED,27,Round 22,22,Carlton,11.0,12.0,78.0,Melbourne,7.0,16.0,58.0,MCG,Melbourne,VIC,2016,2016-08-21,Melbourne,6358.0,Past Round
CD_M20160142208,CONCLUDED,27,Round 22,22,Essendon,7.0,11.0,53.0,Western Bulldogs,14.0,9.0,93.0,Marvel Stadium,Melbourne,VIC,2016,2016-08-21,Western Bulldogs,6360.0,Past Round
CD_M20160142209,CONCLUDED,27,Round 22,22,Brisbane,10.0,9.0,69.0,Geelong,19.0,15.0,129.0,Gabba,Brisbane,QLD,2016,2016-08-21,Geelong,6359.0,Past Round
CD_M20170142201,CONCLUDED,27,Round 22,22,Adelaide,11.0,14.0,80.0,Sydney,13.0,5.0,83.0,Adelaide Oval,Adelaide,SA,2017,2017-08-18,Sydney,9487.0,Past Round
CD_M20170142202,CONCLUDED,27,Round 22,22,Western Bulldogs,11.0,13.0,79.0,Port Adelaide,14.0,12.0,96.0,Mars Stadium,Ballarat,VIC,2017,2017-08-19,Port Adelaide,9488.0,Past Round
CD_M20170142203,CONCLUDED,27,Round 22,22,Collingwood,9.0,5.0,59.0,Geelong,10.0,10.0,70.0,MCG,Melbourne,VIC,2017,2017-08-19,Geelong,9489.0,Past Round
CD_M20170142204,CONCLUDED,27,Round 22,22,GWS,12.0,9.0,81.0,West Coast,9.0,6.0,60.0,ENGIE Stadium,Sydney,NSW,2017,2017-08-19,West Coast,9490.0,Past Round
CD_M20170142205,CONCLUDED,27,Round 22,22,Gold Coast,9.0,3.0,57.0,Essendon,12.0,18.0,90.0,People First Stadium,Gold Coast,QLD,2017,2017-08-19,Essendon,9491.0,Past Round
CD_M20170142206,CONCLUDED,27,Round 22,22,Carlton,12.0,5.0,77.0,Hawthorn,10.0,10.0,70.0,Marvel Stadium,Melbourne,VIC,2017,2017-08-19,Hawthorn,9492.0,Past Round
CD_M20170142207,CONCLUDED,27,Round 22,22,Melbourne,16.0,8.0,104.0,Brisbane,14.0,7.0,91.0,MCG,Melbourne,VIC,2017,2017-08-20,Brisbane,9493.0,Past Round
CD_M20170142208,CONCLUDED,27,Round 22,22,St Kilda,18.0,19.0,127.0,North Melbourne,12.0,6.0,78.0,Marvel Stadium,Melbourne,VIC,2017,2017-08-20,North Melbourne,9494.0,Past Round
CD_M20170142209,CONCLUDED,27,Round 22,22,Fremantle,7.0,9.0,51.0,Richmond,25.0,5.0,155.0,Domain Stadium,Perth,WA,2017,2017-08-20,Richmond,9495.0,Past Round
CD_M20180142201,CONCLUDED,27,Round 22,22,Richmond,12.0,9.0,81.0,Essendon,11.0,7.0,73.0,MCG,Melbourne,VIC,2018,2018-08-17,Essendon,9694.0,Past Round
