Season,RoundNumber,HomeTeam,AwayTeam,CoachesVotes,Player,Team,Player_Cleaned_Name,Date,Match_id
2012,3,Western Bulldogs,St Kilda,4.0,Matthew Boyd,Western Bulldogs,M_Boyd,2012-04-14,5365
2012,3,Western Bulldogs,St Kilda,4.0,Leigh Montagna,St Kilda,L_Montagna,2012-04-14,5365
2012,3,Western Bulldogs,St Kilda,4.0,Clinton Jones,St Kilda,C_Jones,2012-04-14,5365
2012,3,Western Bulldogs,St Kilda,4.0,Sam Fisher,St Kilda,S_Fisher,2012-04-14,5365
2012,3,Western Bulldogs,St Kilda,3.0,Brendon Goddard,St Kilda,B_Goddard,2012-04-14,5365
2012,3,Western Bulldogs,St Kilda,1.0,Jarryn Geary,St Kilda,J_Geary,2012-04-14,5365
2012,3,GWS,West Coast,10.0,Luke Shuey,West Coast,L_Shuey,2012-04-15,5367
2012,3,GWS,West Coast,7.0,Chris Masten,West Coast,C_Masten,2012-04-15,5367
2012,3,GWS,West Coast,7.0,Scott Selwood,West Coast,S_Selwood,2012-04-15,5367
2012,3,GWS,West Coast,4.0,Callan Ward,GWS,C_Ward,2012-04-15,5367
2012,3,GWS,West Coast,1.0,Jonathan Giles,GWS,J_Giles,2012-04-15,5367
2012,3,GWS,West Coast,1.0,Shannon Hurn,West Coast,S_Hurn,2012-04-15,5367
2012,3,Hawthorn,Adelaide,8.0,Josh Gibson,Hawthorn,J_Gibson,2012-04-15,5368
2012,3,Hawthorn,Adelaide,5.0,Jordan Lewis,Hawthorn,J_Lewis,2012-04-15,5368
2012,3,Hawthorn,Adelaide,4.0,Ben Stratton,Hawthorn,B_Stratton,2012-04-15,5368
2012,3,Hawthorn,Adelaide,4.0,Brendan Whitecross,Hawthorn,B_Whitecross,2012-04-15,5368
2012,3,Hawthorn,Adelaide,3.0,Luke Breust,Hawthorn,L_Breust,2012-04-15,5368
2012,3,Hawthorn,Adelaide,2.0,Lance Franklin,Hawthorn,L_Franklin,2012-04-15,5368
2012,3,Hawthorn,Adelaide,2.0,Kurt Tippett,Adelaide,K_Tippett,2012-04-15,5368
2012,3,Hawthorn,Adelaide,1.0,Patrick Dangerfield,Adelaide,P_Dangerfield,2012-04-15,5368
2012,3,Hawthorn,Adelaide,1.0,Brent Guerra,Hawthorn,B_Guerra,2012-04-15,5368
2012,3,North Melbourne,Geelong,9.0,Brent Harvey,North Melbourne,B_Harvey,2012-04-15,5369
2012,3,North Melbourne,Geelong,8.0,Jack Ziebell,North Melbourne,J_Ziebell,2012-04-15,5369
2012,3,North Melbourne,Geelong,7.0,Ryan Bastinac,North Melbourne,R_Bastinac,2012-04-15,5369
2012,3,North Melbourne,Geelong,4.0,Daniel Wells,North Melbourne,D_Wells,2012-04-15,5369
2012,3,North Melbourne,Geelong,1.0,Joel Selwood,Geelong,J_Selwood,2012-04-15,5369
2012,3,North Melbourne,Geelong,1.0,Harry Taylor,Geelong,H_Taylor,2012-04-15,5369
2012,4,St Kilda,Fremantle,8.0,Stephen Hill,Fremantle,S_Hill,2012-04-20,5370
2012,4,St Kilda,Fremantle,7.0,Lenny Hayes,St Kilda,L_Hayes,2012-04-20,5370
2012,4,St Kilda,Fremantle,5.0,Michael Barlow,Fremantle,M_Barlow,2012-04-20,5370
2012,4,St Kilda,Fremantle,4.0,Adam McPhee,Fremantle,A_Mcphee,2012-04-20,5370
2012,4,St Kilda,Fremantle,3.0,Michael Johnson,Fremantle,M_Johnson,2012-04-20,5370
2012,4,St Kilda,Fremantle,2.0,Justin Koschitzke,St Kilda,J_Koschitzke,2012-04-20,5370
2012,4,St Kilda,Fremantle,1.0,Ryan Crowley,Fremantle,R_Crowley,2012-04-20,5370
2012,4,Carlton,Essendon,8.0,Stewart Crameri,Essendon,S_Crameri,2012-04-21,5371
2012,4,Carlton,Essendon,8.0,Jobe Watson,Essendon,J_Watson,2012-04-21,5371
2012,4,Carlton,Essendon,7.0,Brent Stanton,Essendon,B_Stanton,2012-04-21,5371
2012,4,Carlton,Essendon,3.0,Paddy Ryder,Essendon,P_Ryder,2012-04-21,5371
2012,4,Carlton,Essendon,2.0,Alwyn Davey,Essendon,A_Davey,2012-04-21,5371
2012,4,Carlton,Essendon,1.0,Michael Hibberd,Essendon,M_Hibberd,2012-04-21,5371
2012,4,Carlton,Essendon,1.0,Jarrad Waite,Carlton,J_Waite,2012-04-21,5371
2012,4,Collingwood,Port Adelaide,8.0,Dane Swan,Collingwood,D_Swan,2012-04-21,5372
2012,4,Collingwood,Port Adelaide,8.0,Heritier Lumumba,Collingwood,H_Lumumba,2012-04-21,5372
2012,4,Collingwood,Port Adelaide,6.0,Scott Pendlebury,Collingwood,S_Pendlebury,2012-04-21,5372
2012,4,Collingwood,Port Adelaide,4.0,Travis Cloke,Collingwood,T_Cloke,2012-04-21,5372
2012,4,Collingwood,Port Adelaide,4.0,Travis Boak,Port Adelaide,T_Boak,2012-04-21,5372
2012,4,Adelaide,GWS,9.0,Rory Sloane,Adelaide,R_Sloane,2012-04-21,5373
2012,4,Adelaide,GWS,8.0,Nathan Van Berlo,Adelaide,N_V_Berlo,2012-04-21,5373
2012,4,Adelaide,GWS,4.0,Kurt Tippett,Adelaide,K_Tippett,2012-04-21,5373
2012,4,Adelaide,GWS,3.0,Scott Thompson,Adelaide,S_Thompson,2012-04-21,5373
2012,4,Adelaide,GWS,2.0,Callan Ward,GWS,C_Ward,2012-04-21,5373
2012,4,Adelaide,GWS,2.0,Brent Reilly,Adelaide,B_Reilly,2012-04-21,5373
